has_link,words_count_cat,Email Text Raw,imperative_verbs_count,clause_density,pronoun_density,urgency_markers_count,domain_dot_high,has_suspicious_tags
1,medio,"re : rtp conference hill , yes , i think it can be done . i am in london right now and i shall come back next week thursday . please , give me call about it . vince vincent kaminski managing director - research enron corp . 1400 smith street room ebl 962 houston , tx 77002 - 7361 phone : ( 713 ) 853 3848 ( 713 ) 410 5396 ( cell ) fax : ( 713 ) 646 2503 e - mail : vkamins @ enron . com hill huntington on 03 / 22 / 2001 04 : 47 : 33 pm to : vince kaminsky cc : subject : rtp conference vince , sounds like there are several enron people very interested in our seminar . many thanks for passing the idea around . do you think that these groups might provide some sponsorship ? i didn ' t know whether you have already asked them and they are thinking about it or whether i need to approach them directly . i would appreciate any suggestions you have . regards , hill hillard g . huntington emf - an international forum on energy and environmental markets voice : ( 650 ) 723 - 1050 408 terman center fax : ( 650 ) 725 - 5362 stanford university email : hillh @ stanford . edu stanford , ca 94305 - 4026 emf website : http : / / www . stanford . edu / group / emf /",0,0.05777777777777778,0.05179282868525897,0,0,0
0,medio,"nom / actual flow vols we agree - - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on 02 / 14 / 2001 11 : 09 am - - - - - - - - - - - - - - - - - - - - - - - - - - - kponton @ duke - energy . com on 02 / 14 / 2001 10 : 53 : 44 am to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa jones / texas utilities @ tu cc : subject : nom / actual flow vols teco tap : nom = 20 , 000 ; actual flow = 20 , 059",0,0.25,0.006944444444444444,0,0,0
1,medio,"re : account # 88288 m hello , we sent you an email a while ago , because you now qualify for a much lower rate based on the biggest rate drop in years . you can now get $ 250 , 000 for as little as $ 515 a month ! bad credit ? doesn ' t matter , low rates are fixed no matter what ! follow this link to process your application and a 24 hour approval : best regards , ethel yang http : / / www . mrrefinancing . net / x / st . html",0,0.0625,0.039603960396039604,0,0,0
0,medio,"version diplomado gestion en comercio exterior formulario : ( * ) informacin inscripcin diplomado : gestin comercio exterior participante : cargo : empresa : giro : direccin : comuna : telfono : fax : e - mail : ejecutiva : marta jacqueline melissa patricia otro ejecutivo socio asexma si no los campos que se encuentran con ( * ) son obligatorios para anular inscripciones : notificar por escrito antes de 48 horas del inicio del evento . de lo contrario , se considerar que la persona asiste y se tramitar el cobro correspondiente . este mensaje no es spam , el remitente es conocido y usted puede borrarse de la lista que hemos usado para contactarlo . si ya no quiere recibir m?s informaci?n de asexma chile , haga click aqu? y envie el correo que aparecera en algunos segundos .",1,0.44000000000000006,0.0,0,0,0
1,medio,best very young preteens : - ) hi bro ! ; - ) let ' s go to our 4 newest shocking underage explicit now ! i am proud to introduce you the preteen - home ' s of fresh and hot small bodies ! ! : - x never seen preteenies ! more than 3000 ' s of real very young girlz cannot wait to date with ya today ! meet yr best dreams - see at http : / / lu 4 shiy . biz / 461 / teens 3 /,0,0.03125,0.02127659574468085,0,0,0
0,medio,"
    >> Ultimately I'd like to see tight integration into the ""most popular
    >> email clients""..The advantage of using a kitchen sink (umm, make that highly programmable)
editor+email package like Emacs+VM is that you can twiddle your key bindings
and write a little ELisp (or Pymacs) glue to toss messages in the right
direction (spam or ham).  For this, spambayes would have to operate in an
incremental fashion when fed a single ham or spam message.(No, I have no idea what an ""auto-ham"" is.  A pig run over by a car,
perhaps?)give-a-dog-a-bone-ly, y'rs,Skip
",0,0.24,0.02459016393442623,0,0,0
0,medio,schedule crawler : hourahead failure start date : 1 / 20 / 02 ; hourahead hour : 5 ; hourahead schedule download failed . manual intervention required . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002012005 . txt error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database error : dbcaps 97 data : cannot perform this operation on a closed database error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database,1,0.007378472222222223,0.0,0,0,0
0,medio,"iris mack vince : i received a phone call yesterday afternoon from iris , with a special request of you . she says that she will have to break her lease when she comes to houston . she will have a three - month period during which she will have to pay rent ( march , april and may ) , at the monthly rate of $ 1 , 175 . she is asking if we would be willing to pay $ 3 , 525 to compensate her for this extra expense . i have a phone call in to the relocation department to find out how much cash iris will be receiving from us under the normal relocation benefits , and will let you know as soon as i hear from them . i would imagine that it is a fairly substantial amount , since she is moving from california and since our relocation benefit is very generous . molly",0,0.12244897959183673,0.09316770186335403,0,0,0
0,medio,"cigarettes wholesale ! hywwzzlzd $ 19 . 95 and up ! buy cartons of cigarettes wholesale , starting at $ 19 . 95 . free shipping ! why pay state taxes ? 100 % legal . mailed from swiss bonded warehouse . for personal use only , must be 18 years of age and older , verified by credit card . aol users click here to be removed from future mailings , reply to this email with remove in the subject line .",1,0.024793388429752063,0.0,0,0,0
0,largo,"sum : clitic doubling in spanish to the linguist readers , some weeks ago , i posted a query about clitic doubling in spanish . i received a very useful response , so i would like to thank : jairo morais nunes alan huffman josemina magdalen philip elliot jelly julia de jong jerzy kowal joel nevis cynthia vakareliyska jose miguel gon ~ i menayo almeida jacqueline toribio david gohre dan everett my best regards , rocio , rocio jimenez , rjimenez @ mailbox . syr . edu . - - - - - - - - - andrews , "" unification and morphological blocking "" , nllt : 8 , 4 , 1990 , pp . 507-557 . borer , hagit . parametric syntax . case studies in semitic & romance languages . dordrecht - holland : foris publications , 1984 . bresnan , joan and sam ~ a . mchombo . 1987 . topic , pronoun , and agreement in chiche . language , 63 ( 4 ) : 741-782 . bresnan , joan and lioba moshi . 1990 . object asymmetries in comparative bantu syntax . linguistic inquiry , 21 ( 2 ) : 147-186 . franco , jon andoni . on object agreement in spanish . dissertation , university of southern california , 1993 . garcia , erica . the role of theory in linguistics analysis : the spanish pronoun system . amsterdam : north - holland publishing company , 1975 . grimshaw , jane . 1982 . subcategorization and grammatical relations . in a . zaenen , ed . bloomington , ind . : indiana university linguistics club . issues and theory in romance linguistics . selected papers from the linguistic symposium on romance languages xxiii . 1993 . georgetown university press . washington , dc . jaeggli , osvaldo . topics in romance syntax . dordrecht - holland : foris publications , 1982 . montalbetti , mario . 1981 . consistency and clitics . ms . , massachusetts institue of technology . roberge , yves . the syntactic recoverability of null arguments . mcgill - queen 's university press , 1990 . sunner , nllt 6 ( 1988 ) . vakareliyska , cynthia . "" na - drop in bulgarian "" , journal of slavic linguistics 2 ( 1 ) : 121-150 ( 1994 ) .",0,0.009996155324875047,0.010230179028132993,0,0,0
